id_client,churn,score_churn,risque_ml
73216477,1,0.9978,Haut
73216482,0,0.0076,Faible
73216629,0,0.0148,Faible
73216738,0,0.3968,Moyen
73216752,1,0.9978,Haut
73216917,0,0.0444,Faible
73217314,0,0.0093,Faible
73217407,0,0.1767,Faible
73217409,1,0.9973,Haut
73217411,0,0.3451,Moyen
73217448,0,0.1761,Faible
73217449,1,0.9969,Haut
73217572,1,0.9978,Haut
73217748,1,0.9978,Haut
73218211,1,0.2441,Faible
73218213,0,0.0098,Faible
73218214,0,0.3968,Moyen
73218223,0,0.3988,Moyen
73218401,1,0.9977,Haut
73218425,0,0.3919,Moyen
73218440,1,0.3319,Moyen
73218463,1,0.2511,Faible
73218470,1,0.9977,Haut
73218495,0,0.382,Moyen
73218786,0,0.3451,Moyen
73219049,1,0.5884,Moyen
73219060,0,0.1459,Faible
73219065,0,0.2571,Faible
73219101,1,0.4186,Moyen
73219104,0,0.2959,Faible
73219171,1,0.4529,Moyen
73219348,1,0.9977,Haut
73219353,1,0.4263,Moyen
73219369,1,0.3232,Moyen
73219383,0,0.3691,Moyen
73219399,0,0.3417,Moyen
73219433,0,0.3697,Moyen
73219456,0,0.4263,Moyen
73219462,1,0.9978,Haut
73220004,1,0.9977,Haut
73220006,0,0.1743,Faible
73220059,0,0.2714,Faible
73220067,1,0.9978,Haut
73220107,1,0.9973,Haut
73220134,0,0.4899,Moyen
73220136,1,0.3988,Moyen
73220171,1,0.6495,Haut
73220223,1,0.9978,Haut
73220272,1,0.5774,Moyen
73220375,1,0.9978,Haut
73220392,0,0.3315,Moyen
73220409,1,0.9978,Haut
73220432,1,0.9969,Haut
73220452,1,0.2167,Faible
73220469,0,0.0135,Faible
73220471,0,0.1627,Faible
73220492,1,0.9973,Haut
73220512,0,0.6807,Haut
73220514,0,0.2718,Faible
73220518,1,0.9978,Haut
73220522,0,0.0114,Faible
73220534,0,0.0684,Faible
73220566,0,0.5347,Moyen
73220584,0,0.4789,Moyen
73220600,0,0.0075,Faible
73220645,1,0.9967,Haut
73220647,0,0.3232,Moyen
73220745,0,0.3154,Moyen
73220763,0,0.0271,Faible
73220793,1,0.4263,Moyen
73220837,1,0.9973,Haut
73220855,0,0.0237,Faible
73220859,0,0.2787,Faible
73220883,0,0.3132,Moyen
73220902,0,0.4164,Moyen
73220980,0,0.1442,Faible
73220981,0,0.0314,Faible
73220987,0,0.3268,Moyen
73221017,0,0.1759,Faible
73221078,0,0.5543,Moyen
73221083,0,0.3468,Moyen
73221099,0,0.0215,Faible
73221112,0,0.0084,Faible
73221118,0,0.3988,Moyen
73221121,0,0.0279,Faible
73221131,1,0.5052,Moyen
73221146,1,0.2731,Faible
73221150,0,0.013,Faible
73221161,0,0.0185,Faible
73221169,1,0.9978,Haut
